"Recto";"Verso";"Tags"
"Qu’est-ce qu’une anaphore ?";"répétition d'un mot ou groupe de mots en début de segments successifs";"bac_francais procedes procedes_anaphore"
"Comment reconnaître une anaphore dans un texte ?";"on voit le même mot au début de plusieurs phrases, vers ou groupes";"bac_francais procedes procedes_anaphore"
"Quel effet principal produit une anaphore ?";"insister sur une idée";"bac_francais procedes procedes_anaphore"
"Quel autre effet peut produire une anaphore ?";"donner un rythme martelé";"bac_francais procedes procedes_anaphore"
"Dans un commentaire, à quoi sert une anaphore ?";"mettre en valeur une émotion ou une idée importante";"bac_francais procedes procedes_anaphore"
"Quelle erreur fréquente faut-il éviter avec une anaphore ?";"la confondre avec une répétition simple";"bac_francais procedes procedes_anaphore"
"À quel procédé ne faut-il pas la confondre ?";"la répétition";"bac_francais procedes procedes_anaphore"
"Mini-situation : plusieurs vers commencent par le même mot. Quel procédé faut-il repérer ?";"anaphore";"bac_francais procedes procedes_anaphore"
"Complète la phrase d’analyse liée à une anaphore.";"L'anaphore de ... permet d'insister sur ... et crée un effet de ...";"bac_francais procedes procedes_anaphore"
"Qu’est-ce qu’une comparaison ?";"rapprochement de deux éléments grâce à un outil de comparaison";"bac_francais procedes procedes_comparaison"
"Comment reconnaître une comparaison dans un texte ?";"on repère comme, tel, pareil à, semblable à ou un équivalent";"bac_francais procedes procedes_comparaison"
"Quel effet principal produit une comparaison ?";"rendre une idée plus claire";"bac_francais procedes procedes_comparaison"
"Quel autre effet peut produire une comparaison ?";"rendre une image plus concrète";"bac_francais procedes procedes_comparaison"
"Dans un commentaire, à quoi sert une comparaison ?";"aider le lecteur à imaginer ou comprendre";"bac_francais procedes procedes_comparaison"
"Quelle erreur fréquente faut-il éviter avec une comparaison ?";"la confondre avec une métaphore";"bac_francais procedes procedes_comparaison"
"À quel procédé ne faut-il pas la confondre ?";"la métaphore";"bac_francais procedes procedes_comparaison"
"Mini-situation : il est courageux comme un lion. Quel procédé faut-il repérer ?";"comparaison";"bac_francais procedes procedes_comparaison"
"Complète la phrase d’analyse liée à une comparaison.";"La comparaison rend [idée] plus concrète et plus facile à imaginer.";"bac_francais procedes procedes_comparaison"
"Qu’est-ce qu’une métaphore ?";"image qui rapproche deux éléments sans outil de comparaison";"bac_francais procedes procedes_metaphore"
"Comment reconnaître une métaphore dans un texte ?";"le rapprochement est direct, sans comme ni tel";"bac_francais procedes procedes_metaphore"
"Quel effet principal produit une métaphore ?";"frapper l'imagination";"bac_francais procedes procedes_metaphore"
"Quel autre effet peut produire une métaphore ?";"donner une force poétique à une idée";"bac_francais procedes procedes_metaphore"
"Dans un commentaire, à quoi sert une métaphore ?";"faire voir un élément sous un autre angle";"bac_francais procedes procedes_metaphore"
"Quelle erreur fréquente faut-il éviter avec une métaphore ?";"chercher un outil comparatif qui n’existe pas";"bac_francais procedes procedes_metaphore"
"À quel procédé ne faut-il pas la confondre ?";"la comparaison";"bac_francais procedes procedes_metaphore"
"Mini-situation : cet homme est un lion. Quel procédé faut-il repérer ?";"métaphore";"bac_francais procedes procedes_metaphore"
"Complète la phrase d’analyse liée à une métaphore.";"La métaphore donne à [idée] une image plus forte et plus frappante.";"bac_francais procedes procedes_metaphore"
"Qu’est-ce qu’une hyperbole ?";"exagération volontaire pour donner plus de force";"bac_francais procedes procedes_hyperbole"
"Comment reconnaître une hyperbole dans un texte ?";"mots très forts, superlatifs, intensifs";"bac_francais procedes procedes_hyperbole"
"Quel effet principal produit une hyperbole ?";"dramatiser";"bac_francais procedes procedes_hyperbole"
"Quel autre effet peut produire une hyperbole ?";"impressionner le lecteur";"bac_francais procedes procedes_hyperbole"
"Dans un commentaire, à quoi sert une hyperbole ?";"mettre en relief une émotion ou une situation";"bac_francais procedes procedes_hyperbole"
"Quelle erreur fréquente faut-il éviter avec une hyperbole ?";"la prendre au pied de la lettre";"bac_francais procedes procedes_hyperbole"
"À quel procédé ne faut-il pas la confondre ?";"la litote";"bac_francais procedes procedes_hyperbole"
"Mini-situation : je meurs de faim. Quel procédé faut-il repérer ?";"hyperbole";"bac_francais procedes procedes_hyperbole"
"Complète la phrase d’analyse liée à une hyperbole.";"L'hyperbole accentue [idée] et donne au passage plus d'intensité.";"bac_francais procedes procedes_hyperbole"
"Qu’est-ce qu’une personnification ?";"attribution de traits humains à un animal, un objet ou une idée";"bac_francais procedes procedes_personnification"
"Comment reconnaître une personnification dans un texte ?";"un élément non humain agit, parle ou ressent comme une personne";"bac_francais procedes procedes_personnification"
"Quel effet principal produit une personnification ?";"animer la scène";"bac_francais procedes procedes_personnification"
"Quel autre effet peut produire une personnification ?";"rendre l’image plus vivante";"bac_francais procedes procedes_personnification"
"Dans un commentaire, à quoi sert une personnification ?";"faire sentir une présence ou une émotion";"bac_francais procedes procedes_personnification"
"Quelle erreur fréquente faut-il éviter avec une personnification ?";"la confondre avec une simple image";"bac_francais procedes procedes_personnification"
